Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
110,Gateway Mastery,{2}{U}{U},Enchantment,,Rare,U,"{1}{U}: Exile target creature you control, then return it to the battlefield under its owner's control at the beginning of the next end step. Weave.",,,"Weaving,Blink",Gateway Mastery — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
111,Gleeman's Apprentice,{1}{U},Creature — Human Bard,1/2,Common,U,"When Gleeman's Apprentice enters, weave.",,,Weaving,Gleeman's Apprentice — Human Bard from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
112,Illian Merchant,{1}{U},Creature — Human Merchant,2/1,Common,U,"Whenever Illian Merchant attacks, create a Treasure token.",Trade flows through all hands.,,"Token,Synergy",Merchant with exotic goods and coins,"Worldly, mercantile",Token/Synergy
113,Illianer Marine,{2}{U},Creature — Human Soldier,2/3,Common,U,Vigilance.,'Fortune prick me!',Vigilance,Soldier,Illianer Marine — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
114,Illusions of the Dream,{1}{U},Sorcery,,Uncommon,U,Create a token that is a copy of target creature you control. That token has haste and '{U}: Return this creature to its owner's hand.',Tel'aran'rhiod's gifts fade quickly.,,"Clone,Token,Haste",,,
115,Knowledge Unbound,{2}{U},Sorcery,,Common,U,"Draw two cards, then discard a card.","Knowledge is power, but excess burdens the mind.",,Draw,Scholar surrounded by floating books and knowledge,"Expansive, rich",Draw/Blue
116,Mental Fortress,{1}{U},Enchantment — Aura,,Common,U,Enchant creature. Enchanted creature can't be blocked.,The mind finds paths the body cannot.,,"Aura,Evasion",Creature surrounded by blue protective aura,"Mysterious, ethereal",Aura/Evasion
117,Mirror Image,{3}{U},Sorcery,,Common,U,Create a token that's a copy of target creature you control.,"In dreams, anything is possible.",,"Clone,Token",Two identical creatures side by side,"Mystical, doubled",Clone/Token
118,Mistress of the Ships,{2}{U}{U},Creature — Human Windfinder,2/4,Uncommon,U,"Other Windfinders and Sailors you control get +1/+1. Whenever you weave, scry 1.",,,"Channeler,Weaving,Anthem",Mistress of the Ships — Human Windfinder from the Wheel of Time,"Painterly fantasy, dramatic light",Channeler
119,"Moiraine Damodred, Blue Ajah",{1}{U}{U},Legendary Creature — Human Aes Sedai,2/2,Rare,U,"{T}: Draw a card. Whenever you weave, Moiraine gets +1/+0 until end of turn. {4}{U}{U}: Until end of turn, Moiraine has base power and toughness 5/5 and gains flying. Weave.",Some secrets are worth any price.,,"Weaving,Draw",Woman in blue robes with knowing expression,"Mysterious, powerful",Legendary/Female
120,Mystic Scribe,{1}{U},Creature — Human Aes Sedai,1/2,Rare,U,"Whenever you draw a card, put a +1/+1 counter on Mystic Scribe. {U}{U}: Draw two cards.",Knowledge never ceases.,,"Aes Sedai,Female,Draw",,,
121,Mystic's Calling,{1}{U},Enchantment,,Common,U,"Whenever you weave, you may draw a card. If you do, discard a card.",The One Power calls.,,"Weaving,Draw",,,
122,Mystic's Insight,{1}{U},Creature — Human Aes Sedai,1/3,Uncommon,U,"Whenever you draw a card, Mystic's Insight gets +1/+0 until end of turn.",Understanding flows through them.,,"Aes Sedai,Female,Draw,Synergy",,,
123,"Noal Charin, Jain Farstrider",{2}{U},Legendary Creature — Human Scout,2/3,Uncommon,U,"When Noal enters, draw a card, then discard a card. When Noal dies, draw two cards.",The greatest traveler of the Age saved his last road for a friend.,,Draw,"Noal Charin, Jain Farstrider — Human Scout from the Wheel of Time","Painterly fantasy, dramatic light",Draw
124,Pattern's Voice,{1}{U},Creature — Human Aes Sedai,2/2,Rare,U,"{U}: Draw a card, then discard a card. Whenever you weave, Pattern's Voice gets +1/+0 until end of turn.",The Pattern speaks through her.,,"Aes Sedai,Female,Weaving,Draw",,,
125,Prophecy,{1}{U},Sorcery,,Uncommon,U,Look at the next three cards in target opponent's library. Choose one and move it to the bottom of that library.,The future is written for those who read.,,Disruption,,,
126,River Queen Deckhand,{U},Creature — Human Sailor,1/1,Common,U,Pattern 3 — River Queen Deckhand gets +1/+1.,,,Weaving,River Queen Deckhand — Human Sailor from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
127,Riverfolk Scout,{U},Creature — Human Scout,1/2,Common,U,"Whenever a land enters, Riverfolk Scout gets +1/+0 until end of turn.","Scouts know every path, every river.",,"Synergy,Ramp",Scout watching over riverlands,"Vigilant, naturalistic",Ramp/Synergy
128,Scribe's Collection,{2}{U},Enchantment,,Uncommon,U,"Whenever you cast a blue spell, put a knowledge counter on Scribe's. {U}, Remove three knowledge counters: Draw two cards.",All knowledge preserved.,,"Synergy,Draw",,,
129,Scry Adept,{U},Creature — Human Aes Sedai,1/1,Common,U,"Whenever Scry Adept attacks, scry 1.",The future reveals itself to those who listen.,,Scry,"Robed figure with eyes glowing blue, seeing beyond","Mystical, focused",Scry/Blue
130,Scry Deeper,{U},Instant,,Common,U,Scry 2. Weave.,The future becomes clear.,,Weaving,Eyes glowing with blue magical insight,"Mystical, focused",Scry/Blue
131,Scrying for Answers,{1}{U},Sorcery,,Common,U,"Scry 3, then draw a card.",The truth hides just beneath.,,"Scry,Draw",,,
132,Sea Folk Cargomaster,{1}{U},Creature — Human Sailor,2/2,Common,U,"When Sea Folk Cargomaster enters, draw a card, then discard a card.",,,Loot,Sea Folk Cargomaster — Human Sailor from the Wheel of Time,"Painterly fantasy, dramatic light",Loot
133,Sea Folk Windfinder,{1}{U},Creature — Human Windfinder,1/3,Common,U,{T}: Scry 1.,"The Atha'an Miere trust their Windfinders past coin, past kin, past kings.",,"Channeler,Scry",Sea Folk Windfinder — Human Windfinder from the Wheel of Time,"Painterly fantasy, dramatic light",Channeler
134,Seance,{1}{U},Instant,,Uncommon,U,Return target creature card from your graveyard to the battlefield tapped.,The Pattern calls them back.,,Reanimate,,,
135,Seanchan Damane Trainer,{1}{U},Creature — Human Sul'dam,2/2,Common,U,"Whenever you leash a creature, create a 1/1 blue Damane creature token.",Breaking wills is an art.,,"Leash,Token,Seanchan",,,
136,Seeker of Truth,{2}{U},Creature — Human Advisor,2/2,Uncommon,U,"When Seeker of Truth enters, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom in any order.",,,Advantage,Seeker of Truth — Human Advisor from the Wheel of Time,"Painterly fantasy, dramatic light",Advantage
137,Severed Flows,{1}{U},Instant,,Common,U,Counter target spell unless its controller pays {2}. Weave.,The Tower's knowledge protects.,,"Weaving,Counter",Blue magical shield blocking an incoming spell,"Defensive, intellectual",Counter/Blue
138,Shield of Air,{1}{U},Instant,,Common,U,Tap target creature. It doesn't untap during its controller's next untap step. Weave.,,,"Weaving,Removal",Shield of Air — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
139,Skimming Escape,{1}{U},Instant,,Common,U,Return target creature to its owner's hand. Weave.,,,"Weaving,Tempo",Skimming Escape — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
140,Sul'dam Handler,{1}{U},Creature — Human Sul'dam,1/3,Common,U,"When Sul'dam Handler enters, you may leash target creature with mana value 1. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",The a'dam only works on those who can channel. The sul'dam pretend not to wonder why.,,Leash,Sul'dam Handler — Human Sul'dam from the Wheel of Time,"Painterly fantasy, dramatic light",Leash
141,Tairen Harbor Pilot,{1}{U},Creature — Human Sailor,1/2,Common,U,Pattern 3 — Tairen Harbor Pilot can't be blocked.,,,"Weaving,Evasion",Tairen Harbor Pilot — Human Sailor from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
142,Tear's Guard,{1}{U},Creature — Human Soldier,1/1,Common,U,Menace. {U}: Tear's Guard can't be blocked this turn.,Guards of the great city.,Menace,"Soldier,Evasion",,,
143,"Tel'aran'rhiod, World of Dreams",{2}{U},Sorcery,,Uncommon,U,Draw three cards. Put two cards from your hand on top of your library in any order. Weave.,"In dreams, the boundaries dissolve.",,"Weaving,Draw",Dreamy landscape shifting between reality and fantasy,"Mystical, shifting",Weaving/Draw
144,Tower Messenger,{1}{U},Creature — Human Scout,1/2,Common,U,"When Tower Messenger enters, scry 1.",,,Scry,Tower Messenger — Human Scout from the Wheel of Time,"Painterly fantasy, dramatic light",Scry
145,Traveling,{2}{U},Sorcery,,Uncommon,U,Put a creature card with mana value 3 or less from your hand onto the battlefield tapped. Weave.,"A slash of silver light, and a hundred leagues are one step.",,"Weaving,Tempo",Traveling — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
146,Undone Threads,{2}{U},Instant,,Common,U,Counter target creature spell. Weave.,,,"Weaving,Counter",Undone Threads — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
147,Weaver's Craft,{1}{U},Enchantment,,Rare,U,"Whenever you weave, you may search your library for a card and put it on top of your library. Shuffle. {U}{U}: Create a 1/1 blue Aes Sedai token.",The Pattern is woven by masters.,,"Weaving,Tutor,Token",,,
148,Weaving of the Pattern,{1}{U},Sorcery,,Uncommon,U,"Weave twice. Search your library for a card, put it on top of your library, then shuffle.",The pattern guides all things.,,"Weaving,Tutor,Draw",Ethereal weaving of magical threads,"Mystical, destined",Weaving/Tutor
149,White Tower Librarian,{1}{U},Creature — Human Scholar,1/4,Uncommon,U,Pattern 3 — {T}: Draw a card.,,,"Weaving,Draw",White Tower Librarian — Human Scholar from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
150,Whitebridge Ferryman,{1}{U},Creature — Human Sailor,2/1,Common,U,Pattern 3 — Whitebridge Ferryman can't be blocked.,,,"Weaving,Evasion",Whitebridge Ferryman — Human Sailor from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
151,Ancient Evil Reborn,{3}{B}{B},Creature — Forsaken,5/3,Mythic,B,"Menace. Whenever you leash a creature, Ancient Evil gets +1/+0 until end of turn. {B}{B}{B}: Create a 2/2 black Shadowspawn token.",The Forsaken return.,Menace,"Forsaken,Leash,Mythic",,,
152,Bargain with the Eelfinn,{2}{B},Sorcery,,Rare,B,Draw three cards. You lose 3 life and exile a card from your hand. (They always take their price.),,,Draw,Bargain with the Eelfinn — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Draw
153,Black Ajah Member,{2}{B},Creature — Human Darkfriend,2/2,Uncommon,B,"Whenever you discard a card, Black Ajah Member gets +1/+0 until end of turn. {B}: Discard a card. Black Ajah Member deals 1 damage to each opponent.",They chose the Shadow willingly.,,"Darkfriend,Synergy,Discard",,,
154,Black Ajah Pact,{1}{B}{B},Enchantment,,Uncommon,B,"Whenever you leash a creature, each opponent loses 2 life and you gain 2 life. {B}{B}, Sacrifice a creature: Leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",Serve the Shadow willingly.,,"Leash,Drain",,,
155,Blight Strider,{2}{B},Creature — Shadowspawn,3/2,Common,B,Blight Strider can't block.,,,Aggro,Blight Strider — Shadowspawn from the Wheel of Time,"Painterly fantasy, dramatic light",Aggro
156,Compulsion Aura,{1}{B},Enchantment — Aura,,Common,B,"Enchant creature an opponent controls. Enchanted creature can't attack or block, and its activated abilities can't be activated.",Your will is no longer your own.,,"Aura,Removal",Dark magical chains wrapped around a creature,"Controlling, dark",Aura/Black
157,Compulsion Curse,{1}{B},Enchantment — Aura,,Common,B,Enchant creature you control. {B}{B}: Enchanted creature gets +1/+0 and target opponent can't cast spells until end of turn.,Your mind bends to my will.,,"Aura,Control",Dark chains binding mind and will,"Enslaving, dark",Aura/Control
158,Consumed by Shadow,{3}{B},Sorcery,,Common,B,Destroy target creature with toughness 3 or less. You gain 2 life.,,,Removal,Consumed by Shadow — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
159,Corruption,{1}{B},Enchantment — Aura,,Common,B,"Enchant creature you control. Enchanted creature gets +2/+0 and has 'Whenever this creature deals combat damage, you draw a card.'",The Shadow's gifts corrupt utterly.,,"Aura,Synergy",,,
160,Corruption's Cost,{1}{B},Sorcery,,Common,B,Target opponent loses 2 life and discards a card. Create a 1/1 black Shadowspawn token.,The Shadow always collects.,,"Drain,Discard,Token",,,
161,Creeping Shadow,{1}{B},Creature — Shadowspawn,1/2,Common,B,"Menace. Whenever Creeping Shadow is dealt damage, create a 1/1 black Shadowspawn token.",The Shadow spreads.,Menace,"Shadowspawn,Token,Menace",,,
162,Dark Presence,{1}{B},Creature — Shadowspawn,2/2,Uncommon,B,"Menace. {B}: Dark Presence gets +1/+0 until end of turn. Whenever you leash, Dark gets +0/+1 until end of turn.",The Shadow's constant threat.,Menace,"Shadowspawn,Leash,Synergy",,,
163,Dark Prophecy,{1}{B}{B},Enchantment,,Uncommon,B,"At the beginning of your upkeep, each opponent loses 1 life. Whenever you leash a creature for the first time each turn, draw a card.",,,"Leash,Drain",Dark Prophecy — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Leash
164,Darkfriend Cutpurse,{B},Creature — Human Darkfriend,1/1,Common,B,"When Darkfriend Cutpurse enters, each opponent loses 1 life and you gain 1 life.",,,Drain,Darkfriend Cutpurse — Human Darkfriend from the Wheel of Time,"Painterly fantasy, dramatic light",Drain
165,Darkfriend Recruit,{B},Creature — Human Darkfriend,1/1,Common,B,"When Darkfriend Recruit enters, target opponent discards a card. {B}: Darkfriend gets +1/+0 until end of turn.",Willing servants of Shadow.,,"Darkfriend,Discard",,,
166,Darkfriend Servant,{1}{B},Creature — Human Darkfriend,1/2,Common,B,"{T}: Add {B}. If you've woven three or more times, add {B}{B} instead.","Willing servants of the Shadow, covert and cunning.",,Mana Dork,"Shadowy figure in dark cloak, face obscured","Sinister, corrupt",Mana Dork/Black
167,Darkfriend Spy,{B},Creature — Human Darkfriend,1/1,Common,B,"When Darkfriend Spy enters, target opponent reveals a card from their hand.",Watching. Always watching.,,Disruption,"Cloaked figure in shadows, spying through window","Sinister, watchful",Disruption/Black
168,Darkhound,{1}{B},Creature — Darkhound,2/2,Common,B,"Whenever you cast a black spell, Darkhound gets +1/+0 until end of turn. Menace.",Tainted beasts of the Shadow.,Menace,Creature,"Corrupted canine, dark aura, red eyes","Horrifying, menacing",Darkhound/Synergy
169,Darkhound Alpha,{1}{B},Creature — Darkhound,2/2,Uncommon,B,"Menace. Other Darkhounds get +1/+0. Whenever a creature dies, create a 1/1 black Darkhound token.",The alpha of corruption.,Menace,"Darkhound,Menace,Synergy,Token",,,
170,Darkhound Pack,{2}{B},Creature — Darkhound,3/2,Uncommon,B,"Whenever you cast a black spell, all Darkhounds get +1/+0 until end of turn. Menace.",Tainted hounds hunting in packs.,Menace,"Darkhound,Synergy",Pack of corrupted canines with red eyes,"Predatory, menacing",Darkhound/Pack
171,Darkhound Stalker,{1}{B},Creature — Darkhound,1/3,Uncommon,B,"Menace. {B}: Darkhound Stalker gets +1/+0 until end of turn. Whenever a creature dies, you may create a 1/1 black Shadowspawn token.",Tainted beasts that never tire.,Menace,"Darkhound,Synergy",,,
172,Darkspawn Endless,{B},Creature — Shadowspawn,1/1,Rare,B,"Whenever you cast a black spell, create a 1/1 black Shadowspawn token. {1}{B}: Create a Shadowspawn token.",The Shadow's brood multiplies endlessly.,,"Shadowspawn,Token,Synergy",,,
173,Death Comes,{1}{B}{B},Creature — Forsaken Avatar,3/3,Rare,B,"Menace. Whenever Death Comes deals combat damage, target opponent loses 2 life and discards a card.",All things must end.,Menace,"Forsaken,Drain,Discard",,,
174,Death's Whisper,{1}{B},Instant,,Common,B,Destroy target creature with toughness 2 or less.,The Shadow whispers and life fades.,,Removal,Black whispers causing decay,"Lethal, sinister",Removal/Black
175,Discard Pact,{1}{B},Sorcery,,Common,B,Target opponent discards two cards.,The Shadow breaks the will.,,Discard,,,
176,Draghkar,{2}{B},Creature — Shadowspawn,2/2,Uncommon,B,"Flying. Whenever Draghkar deals combat damage to a player, you gain 2 life and that player loses 2 life.",Its song is beautiful. Its kiss is not.,Flying,Drain,Draghkar — Shadowspawn from the Wheel of Time,"Painterly fantasy, dramatic light",Drain
177,Drain Life,{1}{B},Instant,,Common,B,Target creature or player loses 1 life and you gain 1 life.,The One Power can sustain through dark means.,,Drain,Life force flowing from victim to caster,"Vampiric, dark",Drain/Black
178,Dreadlord Initiate,{1}{B},Creature — Human Dreadlord Channeler,1/2,Common,B,"Whenever you leash a creature or cast a black spell, Dreadlord Initiate gets +1/+0 until end of turn.",,,"Leash,Channeler",Dreadlord Initiate — Human Dreadlord Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Leash
179,Fade Battle Commander,{3}{B}{B},Creature — Fade,3/3,Rare,B,"Ward {2}, menace. When Fade Battle Commander enters, create two 2/2 black Trolloc creature tokens with haste.",The Fade commands the Trolloc hordes.,"Ward, Menace","Fade,Trolloc,Commander",Wraith-like commander surrounded by Trolloc army,"Commanding, terrifying",Fade/Trolloc
180,Fade Into Shadow,{1}{B},Instant,,Common,B,"Until end of turn, target creature loses all abilities and has base power and toughness 0/1.",The Shadow consumes.,,"Removal,Synergy",,,
181,Fade Servant,{1}{B},Creature — Fade,1/2,Common,B,Ward {2}. Menace.,Wraiths serving the Shadow.,"Ward, Menace",Fade,"Wraith-like Fade creature, ethereal and menacing","Supernatural, threatening",Fade/Control
182,Fade Wraith,{1}{B},Creature — Fade,1/2,Uncommon,B,"Ward {2}. Menace. Whenever Fade Wraith becomes blocked, the creature that blocked it doesn't untap during its controller's next untap step.",Wraiths of the Shadow cause dread.,"Ward, Menace","Fade,Control","Ethereal Fade creature, paralyzing gaze","Supernatural, freezing",Fade/Control
183,Fade's Grasp,{1}{B},Creature — Fade,2/1,Common,B,Ward {2}. Menace. {B}: Fade gets +1/+0 until end of turn.,The Fade's deadly touch.,"Ward, Menace","Fade,Menace,Ward",,,
184,Fade's Whisper,{1}{B},Sorcery,,Common,B,Target opponent discards two cards. Create a 1/1 black Fade token with Ward 2.,The Fade's voice chills the soul.,,"Discard,Fade,Token",,,
185,Forsaken Madness,{1}{B},Sorcery,,Uncommon,B,Target opponent reveals their hand. You may choose a card from their hand. They discard that card. You gain life equal to its mana cost.,Power without purpose breeds madness.,,Discard,,,
186,Forsaken Scheme,{1}{B},Creature — Forsaken,2/2,Uncommon,B,"Whenever you leash a creature, create a 1/1 black Shadowspawn token. {B}: Forsaken Scheme gets +1/+0 until end of turn.",Plots within plots.,,"Forsaken,Leash,Token",,,
187,Forsaken Tower,{1}{B}{B},Enchantment,,Rare,B,"All black creatures get +1/+0. Whenever you leash a creature, that creature becomes black in addition to its other colors.",The tower of the Shadow grows.,,"Leash,Synergy,Drain",,,
188,Forsaken's Legacy,{1}{B},Enchantment,,Uncommon,B,"Whenever a creature you control deals combat damage, target opponent discards a card. {B}{B}: Create a 1/1 black Shadowspawn token.",Dark gifts corrupt forever.,,"Synergy,Discard,Token",,,
189,Forsaken's Pact,{2}{B},Enchantment,,Common,B,"Whenever you cast a black spell, target opponent loses 1 life. {2}{B}: Target creature gains deathtouch until end of turn.","Serve the Shadow, gain its power.",,"Synergy,Drain",,,
190,Grave Robber,{1}{B},Creature — Human Darkfriend,2/2,Common,B,{T}: Target player discards a card.,Some serve the Shadow willingly.,,Discard,"Sneaky figure stealing from graves, dark night","Creepy, parasitic",Discard/Black
191,Gray Man,{2}{B},Creature — Assassin,2/1,Uncommon,B,"Gray Man can't be blocked. Whenever Gray Man deals combat damage to a player, that player sacrifices a creature of their choice.",Your eye slides past. That is the last mistake you make.,,"Removal,Evasion",Gray Man — Assassin from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
192,Howling Darkhound,{2}{B},Creature — Shadowspawn Hound,2/2,Common,B,"Menace. When Howling Darkhound enters, each opponent loses 1 life.",Tainted beasts answer the call.,,"Token,Darkhound,Menace",,,
193,"Ishamael, The Betrayer",{3}{B}{B},Legendary Creature — Forsaken,4/4,Mythic,B,"Menace. All creatures get -1/-0. Whenever a creature dies, you gain 1 life. {B}{B}{B}: Ishamael gets +2/+2 until end of turn.","He knew it all, from the beginning.",Menace,"Legendary,Forsaken,Drain,Weaken",Dark figure of ultimate betrayal,"Sinister, knowing",Mythic/Forsaken
194,Mashadar's Touch,{1}{B},Instant,,Uncommon,B,"Target creature gets -2/-2 until end of turn. If that creature would die, you may create a 1/1 black Shadowspawn token instead.",The Shadow doesn't release easily.,,"Removal,Synergy",,,
195,"Mashadar, Hunger of Aridhol",{3}{B}{B},Legendary Creature — Mist Horror,5/5,Mythic,B,"Deathtouch. Mashadar can block any number of creatures. Whenever a creature dealt damage by Mashadar dies, create a 1/1 black Mist creature token with deathtouch.",The suspicion that killed Aridhol did not die with it. It got hungry.,Deathtouch,Token,"Mashadar, Hunger of Aridhol — Mist Horror from the Wheel of Time","Painterly fantasy, dramatic light",Token
196,Myrddraal Bladesman,{1}{B}{B},Creature — Fade,3/2,Uncommon,B,"First strike, menace.","The Halfmen's blades are forged at Thakan'dar, quenched in poison.","First strike, Menace",Fade,Myrddraal Bladesman — Fade from the Wheel of Time,"Painterly fantasy, dramatic light",Fade
197,"Padan Fain, Hound of Darkness",{2}{B}{B},Legendary Creature — Human Darkfriend,4/3,Mythic,B,"Deathtouch. Whenever another creature dies, put a +1/+1 counter on Padan Fain. Fain can't be sacrificed, and he isn't a Darkfriend while an opponent's effect refers to Darkfriends. (He belongs to something older now.)","The Dark One's hound slipped his leash in Shadar Logoth, and came out as something worse.",Deathtouch,Counters,"Padan Fain, Hound of Darkness — Human Darkfriend from the Wheel of Time","Painterly fantasy, dramatic light",Counters
198,Sacrifice to Power,{1}{B},Sorcery,,Common,B,Sacrifice a creature. You gain 2 life and draw a card.,Service to the Shadow brings strength.,,"Sacrifice,Drain,Draw",,,
199,Shadar Logoth Wraith,{1}{B},Creature — Spirit,2/1,Common,B,"Menace. When Shadar Logoth Wraith dies, each player loses 1 life.",,Menace,Aggro,Shadar Logoth Wraith — Spirit from the Wheel of Time,"Painterly fantasy, dramatic light",Aggro
200,Shadow Consumes,{1}{B},Sorcery,,Rare,B,Each creature target opponent controls loses lifelink. {B}{B}{B}: Create a 3/3 black Shadowspawn token and return one from your graveyard.,The Shadow takes all.,,"Shadowspawn,Token,Drain",,,
201,Shadow's Grasp,{B},Instant,,Common,B,Target creature gets -2/-1 until end of turn.,The Shadow reaches out and withers.,,Removal,Black shadowy tendrils grabbing at a creature,"Dark, weakening",Removal/Black
202,Shadow's Whisper,{1}{B},Sorcery,,Uncommon,B,Each opponent discards a card. Create a 1/1 black Shadowspawn token.,The Shadow's influence spreads.,,"Discard,Token,Shadowspawn",,,
203,Shadowblight,{1}{B},Enchantment — Aura,,Uncommon,B,"Enchant creature. Enchanted creature gets -2/-1. Whenever enchanted creature becomes blocked, it loses all abilities until end of turn.",The Shadow corrupts and weakens.,,"Aura,Synergy,Weaken",,,
204,Shadowspawn Brood,{B},Creature — Shadowspawn,1/1,Common,B,"Whenever you cast a black spell, create a 1/1 black Shadowspawn token.","From Shadow, darkness spreads.",,"Shadowspawn,Token",,,
205,Shadowspawn Horde,{2}{B},Sorcery,,Common,B,Create three 1/1 black Shadowspawn tokens.,The Shadow births its servants.,,"Token,Shadowspawn",,,
206,Shadowspawn Minion,{B},Creature — Shadowspawn,2/1,Common,B,"Whenever you cast a black spell, Shadowspawn Minion gets +1/+0 until end of turn.",Born of the Shadow.,,Synergy,"Twisted, corrupted creature with dark aura","Horrifying, corrupt",Synergy/Black
207,Shadowspawn Plague,{1}{B},Sorcery,,Common,B,Create a 2/2 black Shadowspawn token with menace.,The Shadow's children multiply.,,"Shadowspawn,Token,Menace",,,
208,Shadowspawn Queen,{1}{B}{B},Creature — Shadowspawn,3/3,Rare,B,"Menace. Whenever you cast a black spell, create a 1/1 black Shadowspawn token. Whenever a Shadowspawn deals damage to a player, you draw a card.",The Shadow's brood multiplies.,Menace,"Shadowspawn,Synergy,Token",,,
209,Shadowspawn Scout,{B},Creature — Shadowspawn,1/1,Common,B,"When Shadowspawn Scout enters, draw a card, then discard a card.",The Shadow's eyes are everywhere.,,Shadowspawn,Twisted shadow creature with searching pose,"Vigilant, sinister",Shadowspawn/Draw
210,Shadowspawn Swarm,{1}{B},Sorcery,,Uncommon,B,Create X 1/1 black Shadowspawn tokens where X is the number of black creatures you control.,The Shadow's children swarm.,,"Shadowspawn,Token,Synergy",,,
211,Shadowstep,{1}{B},Instant,,Common,B,Target creature gains menace and +1/+0 until end of turn.,Move unseen.,,"Pump,Menace",,,
212,Taint Spreads,{1}{B},Instant,,Common,B,Each creature target opponent controls gets -1/-1 until end of turn.,The Shadow's taint corrupts all.,,Wipe,Spreading corruption turning creatures black,"Plague-like, destructive",Wipe/Black
213,Taint's Whisper,{B},Enchantment — Aura,,Uncommon,B,Enchant creature. Enchanted creature gets -1/-1 and '{B}: This creature deals 1 damage to target opponent.', The taint maddens and corrupts.,,"Aura,Taint,Drain",,,
214,Thakan'dar Blade,{1}{B},Instant,,Common,B,"Target creature an opponent controls gets -2/-2 until end of turn. If it's a Channeler, it gets -3/-3 instead.",,,"Removal,Anathema",Thakan'dar Blade — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
215,The Bore Opens,{2}{B}{B},Enchantment — Saga,,Rare,B,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Each opponent discards a card and loses 2 life. II — Leash target creature an opponent controls. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) III — Create three 2/2 black Trolloc creature tokens with menace.","Thin as the seals have worn, thinner still they wear.",,"Bore,Saga,Leash","Fabric of reality tearing open, darkness pouring through","Apocalyptic, terrifying",Seal/Control
216,The Gholam,{2}{B}{B},Legendary Creature — Gholam,4/4,Mythic,B,"Menace. Prevent all damage that would be dealt to The Gholam by spells and by Channelers. Whenever The Gholam deals combat damage to a creature, destroy that creature.",Made in the Age of Legends to kill Aes Sedai. It has never once needed sharpening.,Menace,Removal,The Gholam — Gholam from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
217,The Taint on Saidin,{2}{B},Enchantment,,Uncommon,B,"All creatures get -1/-1. Whenever you cast a black spell, this effect increases by -1/-1 until end of turn.",The taint corrupts all.,,"Drain,Synergy",,,
218,Touch of the Fade,{2}{B},Instant,,Common,B,Target creature gets -3/-3 until end of turn.,A Myrddraal's gaze is fear made flesh.,,Removal,Touch of the Fade — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
219,Trolloc Endless,{1}{B},Creature — Trolloc,1/1,Uncommon,B,"Whenever you cast a black spell, create a 1/1 black Trolloc token with haste and menace.",The Trolloc armies never end.,,"Trolloc,Token,Menace,Haste",,,
220,Trolloc General,{2}{B}{B},Creature — Trolloc,3/3,Uncommon,B,"Other Trollocs get +1/+1. Whenever a Trolloc enters, create a 1/1 black Trolloc token with haste and menace.",The general commands the hordes.,Menace,"Trolloc,Synergy,Token",,,
221,Trolloc Horde,{2}{B},Creature — Trolloc,2/3,Common,B,"Menace. Whenever you leash a creature, create a 1/1 black Trolloc token.","The hordes of the Shadow, endless.",Menace,"Trolloc,Leash,Token",Mass of tusked Trollocs surging forward,"Chaotic, numerous",Trolloc/Horde
222,Trolloc Marauder,{1}{B},Creature — Trolloc,3/1,Common,B,Haste. Trolloc Marauder can't block.,Trollocs live only to destroy.,Haste,Trolloc,Larger tusked Trolloc with weapons,"Aggressive, brutal",Trolloc/Haste
223,Trolloc Raider,{2}{B},Creature — Trolloc,2/2,Common,B,"Haste, menace. Whenever Trolloc Raider attacks, defending player loses 1 life.",Bred for war and slaughter.,"Haste, Menace",Trolloc,"Tusked, brutish Trolloc creature","Bestial, savage",Trolloc/Aggro
